thinkBack: Stock quote and option quote for EBAY on 10/29/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
51.97,+.335,"8,551,595",51.80,52.28,51.46

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (4)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.68,.08,-.02,.07,.05,3.02,23.79%,64.83%,35.17%,68.44%,856,"2,402",1.97,1.05,2.99,3.05,DEC 13,50,.97,1.00,-.31,.08,-.02,.07,-.03,.99,23.13%,34.67%,65.33%,67.55%,"1,549","11,050",0,.985
.47,.09,-.02,.08,.03,1.59,22.84%,43.83%,56.17%,90.38%,876,"4,496",0,1.585,1.57,1.60,DEC 13,52.5,2.05,2.07,-.53,.09,-.02,.08,-.04,2.06,22.39%,56.22%,43.78%,90.20%,48,"1,959",.53,1.53
.27,.07,-.01,.07,.02,.71,22.39%,24.29%,75.71%,49.75%,"2,016","5,262",0,.71,.70,.72,DEC 13,55,3.65,3.70,-.74,.07,-.01,.07,-.05,3.68,21.71%,76.30%,23.70%,48.47%,61,"1,278",3.03,.645
.13,.05,-.01,.04,.01,.29,22.50%,11.36%,88.64%,23.16%,208,"8,935",0,.285,.28,.29,DEC 13,57.5,5.75,5.80,-.87,.04,-.01,.04,-.05,5.78,22.15%,88.99%,11.01%,22.45%,10,225,5.53,.245
.06,.03,-.01,.02,.00,.12,23.46%,5.12%,94.88%,10.41%,516,"4,165",0,.12,.11,.13,DEC 13,60,8.05,8.15,-.92,.02,-.01,.03,-.04,8.10,23.25%,95.03%,4.97%,10.12%,22,246,8.03,.07
.03,.01,.00,.01,.00,.05,24.40%,2.22%,97.78%,4.52%,10,"5,878",0,.05,.04,.06,DEC 13,62.5,9.05,12.00,-1.00,.00,.00,.00,.00,10.53,--,100.00%,0.00%,,0,36,10.53,-.005
.01,.01,.00,.01,.00,.02,25.17%,0.92%,99.08%,1.87%,0,210,0,.02,.01,.03,DEC 13,65,11.25,14.15,-1.00,.00,.00,.00,.00,13.03,--,100.00%,0.00%,,0,0,13.03,-.33
.01,.00,.00,.00,.00,.01,29.87%,0.41%,99.59%,0.83%,0,271,0,.01,0,.02,DEC 13,70,17.95,18.20,-.90,.00,-.01,.03,-.03,18.08,46.89%,95.91%,4.09%,8.50%,0,16,18.03,.045
.00,.00,.00,.00,.00,.01,35.84%,0.32%,99.68%,0.65%,0,180,0,.01,0,.02,DEC 13,75,21.15,25.00,-.88,.00,-.02,.03,-.03,23.08,59.25%,95.75%,4.25%,8.93%,0,0,23.03,.045

JAN 14  (81)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.05,28.98,--,100.00%,0.00%,0.00%,0,140,28.97,-.12,26.65,31.05,JAN 14,23,0,.02,.00,.00,.00,.00,.00,.01,63.31%,0.51%,99.49%,0.97%,0,"1,701",0,.01
1.00,.00,.00,.00,.06,26.98,--,100.00%,0.00%,0.00%,0,431,26.97,-.195,24.65,28.90,JAN 14,25,0,.02,.00,.00,.00,.00,.00,.01,57.16%,0.51%,99.49%,0.98%,0,"2,607",0,.01
1.00,.00,.00,.00,.07,21.99,0.00%,100.00%,0.00%,0.00%,3,703,21.97,.005,21.85,22.10,JAN 14,30,.01,.03,-.01,.00,.00,.00,.00,.02,47.23%,0.95%,99.05%,1.83%,0,"2,860",0,.02
1.00,.00,.00,.00,.08,17.00,32.48%,99.37%,0.63%,1.23%,10,"1,077",16.97,.03,16.90,17.10,JAN 14,35,.05,.06,-.01,.00,.00,.01,.00,.06,40.16%,2.35%,97.65%,4.56%,0,"4,453",0,.055
.96,.01,.00,.02,.08,12.15,33.94%,93.96%,6.04%,11.71%,80,"3,611",11.97,.18,12.10,12.20,JAN 14,40,.12,.14,-.04,.01,.00,.02,.00,.13,32.67%,5.29%,94.71%,10.26%,48,"6,842",0,.13
.87,.03,-.01,.05,.08,7.50,29.09%,83.64%,16.36%,31.66%,19,"3,740",6.97,.53,7.45,7.55,JAN 14,45,.46,.48,-.13,.03,-.01,.05,-.02,.47,28.43%,15.73%,84.27%,30.47%,95,"11,866",0,.47
.65,.06,-.01,.09,.07,3.65,26.24%,59.99%,40.01%,76.93%,314,"5,797",1.97,1.68,3.60,3.70,JAN 14,50,1.60,1.64,-.35,.06,-.01,.09,-.04,1.62,25.89%,39.81%,60.19%,76.60%,170,"19,264",0,1.62
.49,.06,-.02,.10,.05,2.26,25.42%,44.44%,55.56%,92.84%,332,"11,699",0,2.265,2.25,2.28,JAN 14,52.5,2.72,2.74,-.51,.06,-.01,.10,-.06,2.73,25.05%,55.57%,44.43%,92.74%,66,"4,455",.53,2.20
.34,.06,-.01,.09,.04,1.30,24.91%,29.65%,70.35%,61.46%,557,"12,612",0,1.295,1.28,1.31,JAN 14,55,4.25,4.30,-.66,.06,-.01,.09,-.08,4.28,24.69%,70.48%,29.52%,61.17%,"1,012","4,823",3.03,1.245
.21,.05,-.01,.07,.02,.70,24.76%,17.99%,82.01%,37.08%,97,"11,567",0,.695,.68,.71,JAN 14,57.5,6.10,6.20,-.79,.05,-.01,.07,-.08,6.15,24.17%,82.52%,17.48%,35.99%,30,"2,509",5.53,.62
.12,.03,-.01,.05,.01,.35,24.71%,10.02%,89.98%,20.56%,100,"14,773",0,.35,.34,.36,JAN 14,60,8.30,8.40,-.87,.03,-.01,.05,-.08,8.35,24.96%,89.78%,10.22%,21.00%,1,"2,072",8.03,.32
.07,.02,.00,.03,.01,.18,25.00%,5.35%,94.65%,10.96%,16,"2,235",0,.175,.16,.19,JAN 14,62.5,10.10,10.85,-1.00,.00,.00,.00,.00,10.53,--,100.00%,0.00%,,0,"1,092",10.53,-.055
.04,.01,.00,.02,.00,.09,25.56%,2.85%,97.15%,5.83%,45,"4,363",0,.09,.08,.10,JAN 14,65,12.60,13.65,-.91,.01,-.01,.04,-.05,13.13,29.62%,95.16%,4.84%,9.96%,0,"1,035",13.03,.095
.27,.02,-.04,.08,.03,2.50,71.26%,17.32%,82.68%,38.31%,0,4,0,2.50,0,5.00,JAN 14,67.5,11.80,16.85,-1.00,.00,.00,.00,.00,15.53,--,100.00%,0.00%,,0,0,15.53,-1.205

APR 14  (172)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.14,22.01,0.00%,100.00%,0.00%,0.00%,0,17,21.97,.005,20.00,23.95,APR 14,30,.03,.05,-.01,.00,.00,.01,.00,.04,35.50%,1.65%,98.35%,3.18%,0,329,0,.04
.96,.01,.00,.03,.15,17.25,35.84%,93.11%,6.89%,13.11%,0,31,16.97,.28,17.20,17.30,APR 14,35,.13,.15,-.03,.01,.00,.02,-.01,.14,32.30%,4.72%,95.28%,9.06%,0,255,0,.14
.91,.01,-.01,.06,.16,12.55,31.43%,86.60%,13.40%,25.53%,19,205,11.97,.58,12.50,12.60,APR 14,40,.44,.47,-.08,.01,.00,.06,-.02,.46,30.07%,12.15%,87.85%,23.23%,0,"2,974",0,.455
.80,.03,-.01,.10,.16,8.33,28.90%,73.58%,26.42%,50.11%,11,162,6.97,1.355,8.25,8.40,APR 14,45,1.20,1.23,-.20,.03,-.01,.10,-.05,1.22,28.04%,25.59%,74.41%,48.64%,27,"6,947",0,1.215
.62,.04,-.01,.14,.13,4.90,27.20%,54.74%,45.26%,85.12%,107,951,1.97,2.93,4.85,4.95,APR 14,50,2.78,2.83,-.38,.04,-.01,.14,-.10,2.80,26.71%,45.04%,54.96%,84.81%,1,"2,769",0,2.805
.52,.04,-.01,.14,.11,3.60,26.75%,44.40%,55.60%,95.14%,18,"1,726",0,3.60,3.55,3.65,APR 14,52.5,3.95,4.00,-.48,.04,-.01,.14,-.13,3.97,26.09%,55.56%,44.44%,95.03%,0,"2,521",.53,3.445
.41,.04,-.01,.14,.09,2.56,26.36%,34.59%,65.41%,73.46%,108,"3,157",0,2.56,2.54,2.58,APR 14,55,5.40,5.50,-.59,.04,-.01,.14,-.15,5.45,25.81%,65.58%,34.42%,72.98%,1,909,3.03,2.42
.32,.04,-.01,.13,.07,1.77,26.08%,25.90%,74.10%,54.63%,28,"1,731",0,1.77,1.75,1.79,APR 14,57.5,7.10,7.25,-.68,.04,-.01,.13,-.17,7.18,25.63%,74.37%,25.63%,53.99%,2,264,5.53,1.645
.24,.03,-.01,.11,.05,1.20,25.91%,18.72%,81.28%,39.27%,50,965,0,1.195,1.18,1.21,APR 14,60,9.05,9.15,-.76,.03,-.01,.11,-.18,9.10,25.43%,81.64%,18.36%,38.47%,10,259,8.03,1.07
.17,.03,-.01,.09,.04,.80,25.91%,13.20%,86.80%,27.57%,0,664,0,.80,.78,.82,APR 14,62.5,10.90,11.70,-.81,.03,-.01,.09,-.18,11.30,26.48%,86.37%,13.63%,28.53%,0,258,10.53,.77
.12,.02,-.01,.07,.03,.53,25.92%,9.06%,90.94%,18.87%,0,606,0,.525,.51,.54,APR 14,65,13.10,13.95,-.86,.02,-.01,.08,-.16,13.53,26.88%,90.24%,9.76%,20.38%,0,47,13.03,.495
.06,.01,.00,.04,.01,.23,26.17%,4.12%,95.88%,8.54%,0,"2,205",0,.225,.21,.24,APR 14,70,17.45,18.70,-.90,.00,.00,.05,-.09,18.08,26.52%,95.70%,4.30%,8.92%,0,124,18.03,.045
.03,.01,.00,.02,.01,.11,26.94%,1.95%,98.05%,4.02%,0,120,0,.105,.09,.12,APR 14,75,21.85,23.70,-1.00,.00,.00,.00,.00,23.03,--,100.00%,0.00%,,0,30,23.03,-.255

JAN 15  (445)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.90,.01,.00,.10,.35,18.23,33.76%,81.09%,18.91%,34.65%,0,770,16.97,1.255,18.15,18.30,JAN 15,35,.87,.92,-.09,.01,.00,.10,-.07,.90,31.22%,16.30%,83.70%,30.15%,0,"3,041",0,.895
.86,.01,.00,.13,.35,15.65,31.89%,76.45%,23.55%,43.15%,0,127,13.97,1.68,15.50,15.80,JAN 15,38,1.34,1.39,-.13,.01,.00,.12,-.10,1.37,30.31%,21.88%,78.12%,40.32%,1,"5,524",0,1.365
.82,.01,-.01,.15,.35,14.13,31.58%,72.06%,27.94%,51.00%,5,523,11.97,2.155,14.05,14.20,JAN 15,40,1.74,1.79,-.17,.01,.00,.14,-.12,1.76,29.73%,26.05%,73.95%,47.89%,0,"1,855",0,1.765
.77,.02,-.01,.17,.34,11.90,30.55%,65.60%,34.40%,62.58%,2,130,8.97,2.93,11.85,11.95,JAN 15,43,2.50,2.56,-.22,.02,-.01,.17,-.17,2.53,28.99%,32.97%,67.03%,60.34%,55,"7,065",0,2.53
.73,.02,-.01,.19,.33,10.53,29.93%,61.00%,39.00%,70.75%,0,707,6.97,3.555,10.45,10.60,JAN 15,45,3.10,3.20,-.27,.02,-.01,.19,-.20,3.15,28.51%,37.86%,62.14%,69.07%,203,"3,681",0,3.15
.68,.02,-.01,.20,.32,9.28,29.52%,56.14%,43.86%,79.27%,5,309,4.97,4.305,9.20,9.35,JAN 15,47,3.85,3.95,-.31,.02,-.01,.20,-.23,3.90,28.22%,43.01%,56.99%,78.14%,49,"3,107",0,3.90
.61,.02,-.01,.22,.30,7.57,28.90%,48.84%,51.16%,91.93%,82,"2,307",1.97,5.605,7.50,7.65,JAN 15,50,5.15,5.20,-.39,.02,-.01,.22,-.29,5.17,27.63%,50.64%,49.36%,91.48%,413,"6,621",0,5.175
.55,.02,-.01,.23,.27,6.35,28.53%,42.85%,57.15%,96.94%,20,"3,162",0,6.35,6.30,6.40,JAN 15,52.5,6.40,6.50,-.45,.03,-.01,.23,-.33,6.45,27.33%,56.93%,43.07%,96.83%,0,"2,803",.53,5.92
.49,.02,-.01,.23,.25,5.30,28.30%,37.15%,62.85%,83.26%,143,"2,449",0,5.30,5.25,5.35,JAN 15,55,7.80,7.95,-.51,.03,-.01,.23,-.37,7.88,27.02%,62.89%,37.11%,82.63%,6,812,3.03,4.845
.43,.02,-.01,.23,.22,4.35,27.90%,31.84%,68.16%,70.69%,0,"1,255",0,4.35,4.30,4.40,JAN 15,57.5,9.40,9.55,-.57,.03,-.01,.22,-.41,9.48,26.86%,68.40%,31.60%,69.81%,0,434,5.53,3.945
.38,.02,-.01,.22,.20,3.60,27.82%,27.06%,72.94%,59.68%,15,"3,129",0,3.60,3.55,3.65,JAN 15,60,11.15,11.25,-.63,.02,-.01,.22,-.44,11.20,26.67%,73.39%,26.61%,58.37%,0,"2,179",8.03,3.17
