thinkBack: Stock quote and option quote for EBAY on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
52.725,-.615,"8,700,053",53.51,53.51,52.5156

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.03,.01,.00,.01,.00,.05,23.21%,2.38%,97.62%,4.83%,0,"5,891",0,.05,.04,.06,DEC 13,62.5,7.90,9.90,-1.00,.00,.00,.00,.00,9.78,--,100.00%,0.00%,,0,36,9.775,-.875
.01,.01,.00,.01,.00,.02,24.19%,0.98%,99.02%,1.98%,0,220,0,.02,.01,.03,DEC 13,65,10.35,12.35,-1.00,.00,.00,.00,.00,12.28,--,100.00%,0.00%,,0,0,12.275,-.925
.01,.00,.00,.00,.00,.01,29.01%,0.41%,99.59%,0.84%,0,271,0,.01,0,.02,DEC 13,70,17.20,17.30,-1.00,.00,.00,.00,.00,17.28,--,100.00%,0.00%,,0,16,17.275,-.025
.00,.00,.00,.00,.00,.01,32.81%,0.18%,99.82%,0.37%,0,180,0,.005,0,.01,DEC 13,75,19.95,24.00,-1.00,.00,.00,.00,.00,22.28,--,100.00%,0.00%,,0,0,22.275,-.30

JAN 14  (79)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.98,.00,-.01,.01,.05,27.88,82.18%,95.99%,4.01%,7.48%,0,431,27.725,.15,25.65,30.10,JAN 14,25,0,.02,.00,.00,.00,.00,.00,.01,58.99%,0.51%,99.49%,0.98%,0,"2,607",0,.01
.99,.00,.00,.01,.06,22.78,52.07%,98.59%,1.41%,2.71%,10,690,22.725,.05,22.70,22.85,JAN 14,30,.01,.03,.00,.00,.00,.00,.00,.02,48.96%,0.94%,99.06%,1.82%,1,"2,860",0,.02
.98,.00,.00,.01,.07,17.83,44.43%,96.92%,3.08%,5.93%,0,"1,080",17.725,.10,17.75,17.90,JAN 14,35,.04,.05,-.01,.00,.00,.01,.00,.05,40.66%,1.97%,98.03%,3.81%,0,"4,456",0,.045
.97,.01,.00,.02,.08,12.85,33.01%,95.68%,4.32%,8.40%,25,"3,607",12.725,.125,12.80,12.90,JAN 14,40,.09,.10,-.03,.01,.00,.02,.00,.10,32.53%,4.08%,95.92%,7.92%,14,"6,854",0,.095
.90,.03,-.01,.04,.09,8.13,28.62%,86.86%,13.14%,25.49%,28,"3,746",7.725,.40,8.10,8.15,JAN 14,45,.34,.36,-.10,.03,-.01,.04,-.01,.35,28.05%,12.60%,87.40%,24.47%,26,"11,856",0,.35
.69,.06,-.01,.09,.07,4.08,25.65%,65.04%,34.96%,67.46%,439,"5,997",2.725,1.35,4.05,4.10,JAN 14,50,1.29,1.32,-.30,.06,-.01,.09,-.04,1.31,25.45%,34.81%,65.19%,67.19%,63,"20,345",0,1.305
.54,.06,-.02,.10,.06,2.57,24.92%,49.32%,50.68%,97.26%,272,"11,553",.225,2.35,2.56,2.59,JAN 14,52.5,2.28,2.31,-.46,.07,-.01,.10,-.06,2.29,24.65%,50.63%,49.37%,97.23%,134,"4,851",0,2.295
.38,.06,-.01,.09,.04,1.50,24.44%,33.66%,66.34%,69.81%,454,"14,247",0,1.495,1.48,1.51,JAN 14,55,3.70,3.75,-.62,.06,-.01,.09,-.07,3.73,24.28%,66.41%,33.59%,69.62%,70,"6,097",2.275,1.45
.24,.05,-.01,.08,.03,.81,24.24%,20.72%,79.28%,42.72%,142,"11,596",0,.805,.79,.82,JAN 14,57.5,5.50,5.55,-.76,.05,-.01,.08,-.08,5.53,23.94%,79.53%,20.47%,42.17%,4,"2,513",4.775,.75
.14,.04,-.01,.05,.02,.40,24.00%,11.47%,88.53%,23.53%,85,"14,698",0,.395,.38,.41,JAN 14,60,7.60,7.65,-.86,.03,-.01,.05,-.08,7.63,23.87%,88.64%,11.36%,23.30%,0,"2,073",7.275,.35
.07,.02,-.01,.03,.01,.19,24.15%,5.98%,94.02%,12.24%,1,"2,234",0,.19,.18,.20,JAN 14,62.5,9.05,10.40,-1.00,.00,.00,.00,.00,9.78,--,100.00%,0.00%,,0,"1,092",9.775,-.05
.04,.01,.00,.02,.00,.09,24.48%,3.01%,96.99%,6.15%,411,"4,375",0,.09,.08,.10,JAN 14,65,12.20,12.40,-.92,.00,.00,.03,-.04,12.30,25.98%,96.23%,3.77%,7.72%,0,"1,034",12.275,.025
.28,.02,-.04,.08,.03,2.50,69.61%,17.89%,82.11%,39.45%,0,4,0,2.50,0,5.00,JAN 14,67.5,11.80,16.85,-1.00,.00,.00,.00,.00,14.78,--,100.00%,0.00%,,0,0,14.775,-.45
.01,.00,.00,.01,.00,.02,25.30%,0.72%,99.28%,1.46%,30,"2,620",0,.02,.01,.03,JAN 14,70,15.00,18.95,-1.00,.00,.00,.00,.00,17.28,--,100.00%,0.00%,,0,224,17.275,-.30

APR 14  (170)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.99,.00,.00,.01,.14,22.83,39.04%,97.62%,2.38%,4.54%,0,17,22.725,.10,21.05,24.60,APR 14,30,.02,.04,-.01,.00,.00,.01,.00,.03,35.14%,1.29%,98.71%,2.48%,0,460,0,.03
.97,.01,.00,.03,.15,17.95,35.16%,94.38%,5.62%,10.73%,0,31,17.725,.225,17.90,18.00,APR 14,35,.10,.12,-.02,.00,.00,.02,-.01,.11,32.01%,3.86%,96.14%,7.43%,0,255,0,.11
.92,.01,.00,.05,.17,13.20,30.89%,88.63%,11.37%,21.73%,5,219,12.725,.475,13.15,13.25,APR 14,40,.36,.39,-.07,.01,.00,.05,-.02,.38,29.84%,10.45%,89.55%,20.01%,5,"2,840",0,.375
